唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間
Attraction_345040000G_000012,Attraction,Zh_tw,阿里山國家森林遊樂區,"阿里山國家森林遊樂區擁有森林小火車、神木、雲海、日出與晚霞「五奇」景致，是台灣最具知名、也最受歡迎的森林遊樂區，是阿里山山脈上的一枚翡翠，閃著耀眼的光芒。

阿里山林業鐵路為著名的高山觀光森林鐵道，您可以至嘉義火車站搭乘森林小火車，一路輕晃享盡森林風情前往終點站阿里山(林業鐵路由阿里山林業鐵路及文化資產管理處轄管，林業鐵路本線及支線已全線通車)。又或者駕車沿台18線蜿蜒而上，不到兩個小時就能抵達88.2k處，海拔2,216公尺的阿里山國家森林遊樂區。

阿里山山脈為台灣五大山脈之一，惟阿里山並不是一座山，而是泛指這個山區；自古擁有豐沛的檜木資源，1912-1960年間為台灣最具規模的林場。歷經長期的採伐後，原始檜木林幾乎伐盡，現今存有第一期與第二期巨木群棧道近四十株的紅檜巨木，讓人緬懷過去神木林的壯闊神聖。著名的阿里山神木於1956年遭受雷擊後1997年又有半邊因雨倒伏，林業及自然保育署為了順應自然生態、尊重生命及維護遊客安全，於1998年6月將阿里山神木原地放倒供遊客欣賞。於2006年經票選由「阿里山香林神木」當選第二代神木，高45公尺，樹圍12.3公尺，是到訪阿里山的必遊之處。

在阿里山國家森林遊樂區內有豐富的生態，其中最特殊的植物，莫過於稀有的蓧蕨、相馬氏石杉、阿里山十大功勞與臺灣一葉蘭了；動物則有台灣獼猴、帝雉、藪鳥、阿里山鴝、阿里山山椒魚等小明星助陣，熱鬧非凡。

除了神木，阿里山還有非常多具可看性的景點：森林小火車、空靈飄渺的姊妹潭、壯闊動人的雲海、美麗的祝山日出、受鎮宮、百年慈雲寺、林業史蹟、春天盛開的各類櫻花與杜鵑…阿里山國家森林遊樂區是一個足以代表臺灣霧林帶的國際級觀光景點，歡迎著來自全世界的旅人們，前來認識台灣山林豐富而美麗的面貌。",(05)2679917,,嘉義縣,阿里山鄉,中正村59號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000013,Attraction,Zh_tw,藤枝國家森林遊樂區,"
有「森濤」美名的藤枝國家森林遊樂區，是南部地區享受森林浴、夏日避暑、玩賞生態最好的去處。
距離高雄市、屏東市、臺南市約莫2小時車程的藤枝，過去是布農族人的生活區域，日治時期在此設立京都大學實驗林，因此有台灣少見的日本扁柏以及大面積的柳杉造林地。而著名的六龜警備線通過此地，留有不少遺跡。

園區海拔在1500~1804公尺間，涼爽宜人。此地的「霧林帶」中，生長著牛樟、木荷、杏葉石櫟等大樹，更有以此為名的「藤枝秋海棠」與眾多稀有蕨類，十分珍貴；並且孕育了豐富的生態，能找到許多難得一見的昆蟲，如路易士角葫蘆鍬形蟲、大綠目天蠶蛾、台灣爺蟬等。這裡也是全台灣最容易看見黃山雀的地點之一，十分特別，是個十分適合健行賞鳥的好地方呢！ ",(07)6893118,,高雄市,桃源區,寶山里寶山巷150號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000014,Attraction,Zh_tw,墾丁國家森林遊樂區,"墾丁國家森林遊樂區原本是許多石珊瑚蟲、石灰藻類、有孔蟲及貝殼聚生的海洋花園，因為50萬年前地球的板塊運動，成為了一種特殊的森林生態系─高位珊瑚礁林，兼具豐富生態、季風雨林、石灰岩地形，為遊客提供了不一樣的墾丁遊憩選擇。

這裡距離墾丁大街只有10分鐘，是台灣第二座國家森林遊樂區，擁有發達的高位珊瑚礁森林與季風雨林：緊嵌礁岩上的大茄苳、板根發達的銀葉樹與氣根無數的白榕等。1906年日本人在此成立「恆春熱帶植物園」，至今已有百年歷史。

園區常見成群台灣獼猴與赤腹松鼠，幸運的遊客能一睹梅花鹿與食蟹檬的芳蹤，最有看頭的莫過於秋冬來訪的候鳥了，如10月的灰面鵟鷹，甚至稀有的黃鸝，都能一見芳蹤，而森林底層則住著台灣特有的黃灰澤蟹與班卡拉蝸牛等小嬌客。

墾丁國家森林遊樂區另一大特色就是石灰岩地形，在銀龍洞、石筍寶穴等溶洞裡，可以看見鐘乳石、石筍等地質寶藏。這個奇幻森林，絕對能讓喜愛探險的你大飽眼福！",(08)8861211,,屏東縣,恆春鎮,墾丁里公園路201號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000015,Attraction,Zh_tw,雙流國家森林遊樂區,"來到雙流國家森林遊樂區，您可以欣賞一樹成林的白榕、徜徉在美麗的人造林內、登上帽子山遠眺，又或者沿著楓港溪上溯，抵達曾被票選為台灣第二美瀑的雙流瀑布，並擁有豐富的負離子及清新的空氣，讓遊客感受不一樣的恆春半島風情。

這裡是屏東縣獅子鄉，距離楓港只有不到半小時車程。「雙流」之名源於此地為楓港溪上游支流達仁溪與內文溪所匯流之處，過去是排灣族的生活區域，在白榕步道上留有其特色建築「龜甲屋」之遺址。而由於1965年林務局在此種下了大片光蠟樹、相思樹等熱帶造林樹種，是欣賞闊葉人造林之美的好所在。

其間特別的生態，是在帽子山步道沿線可見的恆春半島代表植物：恆春山枇杷與港口木荷、小笠原卷柏等。林間還有台灣藍鵲、台灣畫眉等鳥兒與超過196種蝴蝶等著你來探訪，說不定還可以遇見保育類的黃裳鳳蝶喔！",(08)8701394,,屏東縣,獅子鄉,丹路村丹路二巷23號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000016,Attraction,Zh_tw,知本國家森林遊樂區,"知本國家森林遊樂區海拔高度110~650公尺，全年氣候溫暖濕潤。園區內動植物種類繁多，主要景觀有百年大白榕、百年酸藤、花見知本百草園等。遊樂區更是生態旅遊、森林療癒、親子活動、夜間觀察的最佳去處，近年陸續優化了園區步道系統、木育體驗設施，並陸續推出知本香氛系列製品，讓美好的森林記憶延伸至生活中。
    開一扇窗，啟一段森林的美好！113年更啟動了賣店空間改造工程，引進視覺美學新設了一扇長達6公尺大跨距觀景窗，讓旅人在賣店就能「眺望整座森林」，讓清新的山景與瀑布一覽無遺。並打造東部第一間「山林製造」品牌概念店—「山林製造」X「虎比公寓知本館」，以自然保育及永續發展為主軸，創新森林育樂場域賣店經營思維，連結民眾與森林生態系創造多元服務價值。
賣店室內空間也選用了國產材進行細節裝修，並精選了臺東山村在地餐食、特色工藝、山林讀物、臺東植萃氣味地景與戶外生活等多樣商品，讓人走入空間就有如走入知本森林，就能感受臺灣森林的美好。
",(089)510961,10,臺東縣,卑南鄉,溫泉村龍泉路290號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000017,Attraction,Zh_tw,向陽國家森林遊樂區,"	漫步在整齊的二葉松與紅檜造林地間蜿蜒的林道上，不時與背著巨大背包的山友相遇，互相招呼之際，帝雉悄悄穿越身後的林道沒入草叢，樹梢的火冠戴菊等也未曾停止啁啾；這是人們來訪向陽國家森林遊樂區時，非常容易遇見的場景。

相較於「嘉明湖」的名聞遐邇，位於南橫公路154k，海拔2320公尺面積不大的向陽國家森林遊樂區，就顯得低調多了。這裡有著優美的人造林與平緩的步道群，園區內步道可以輕易聽見十來種山鳥鳴唱、見到漫步的國寶帝雉與鬼靈精怪的山羌與山羊，是個十分適合享受高海拔涼爽、人造林的整齊優美與豐富的生態，來個輕鬆半日遊的小天地呢！

註：向陽國家森林遊樂區休園中，開園時間將另公告",0912103376,,臺東縣,海端鄉,利稻村向陽7號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000018,Attraction,Zh_tw,富源國家森林遊樂區,"富源國家森林遊樂區被富源溪所貫穿，有四通八達的環山步道，最深處為龍吟吊橋、富源吊橋、龍吟瀑布，十分清幽，集賞鳥、賞蝶、森林浴與泡湯為一體，提供遊客多樣化的遊憩體驗。

從花蓮市出發約一個多小時，就能抵達有「蝴蝶谷」之稱的富源國家森林遊樂區。這裡附近曾為清代「關門古道」東端終點，目前擁有大片40年生的樟樹造林地，優美宜人。原始林則有九芎、猴歡喜等低海拔森林的代表樹種，滿滿的附生植物更有阿凡達森林的美感。

因位處中央山脈淺山地區，園區鳥類資源豐富，為花蓮著名的賞鳥之地，包括花蓮縣鳥朱鸝、五色鳥、黃腹琉璃、台灣藍鵲、灰喉山椒及不時盤旋天際的大冠鷲。另外，每年春夏之際(3月-8月)是最佳的賞蝶時段，多樣的蝶類資源更獲得「蝴蝶谷」之美名。園區潮濕無汙染的環境，使得富源的螢類多樣，3-6月的黑翅晦螢及10-12月的台灣山窗螢輪番登場，近年已成為國人賞螢的熱門景點。",(03)8812377,,花蓮縣,瑞穗鄉,富源村廣東路161號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000019,Attraction,Zh_tw,池南國家森林遊樂區,"如果你喜歡探究歷史，那麼你絕對不能錯過池南國家森林遊樂區：老火車頭、集材機、林業陳列館中的老照片與無數文物，就這樣保存在花蓮鯉魚潭畔的小小園區中，彷彿1960年代的縮影。

池南是花蓮林業史上三大傳奇之一：哈崙山地鐵道的起點。從1930年開始，日本人規劃、國民政府擴建，打造了全長將近50公里，花蓮最輝煌的林業鐵道帝國。

直到1989年全面禁伐，地處深山的哈崙工作站裁撤，從此與世隔絕，僅留下池南轉運站轉型為森林遊樂區，讓人們緬懷這段林業時光。除了歷史，池南的森林以桑科、樟科為主，交雜著光蠟樹等造林樹種，東部特有的烏頭翁時常出沒其中，也是人們親近大自然的好選擇。

來到池南國家森林遊樂區，可以在森林浴交織著歷史的氛圍裡，理解不同時代背景下，林業管理的蛻變與展望。",(03)8641594,13,花蓮縣,壽豐鄉,池南村林園路65號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_020020,Attraction,Zh_tw,鰲鼓濕地森林園區,"鰲鼓濕地森林園區早期為台灣糖業公司填海造陸從事農、漁、牧事業及種植甘蔗的大本營，但由於地層嚴重下陷、海水入侵地下水層，農場逐漸沒落荒廢。地勢低窪加上周邊海堤圍繞，大雨過後，魚塭及舊有農地形成天然的蓄水池，久而久之，這些水塘濕地之棲地，越來越多候鳥與留鳥棲身及停留於此，成為現今之鰲鼓濕地森林園區。

大面積的造林地十年或是二十年後將茁壯成林，鰲鼓濕地將會成為具有多樣林相及豐富濕地生態資源之國際級生態環境。鰲鼓濕地森林園區以「濕地保育」與「環境教育」做為園區主要發展定位，使鰲鼓濕地森林園區成為生態旅遊及教學研究的基地。",(05)3601801,,嘉義縣,東石鄉,鰲鼓村四股54號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_020021,Attraction,Zh_tw,林後四林平地森林園區,「林後四林平地森林園區」位處屏東縣潮州鎮，為政府愛台12建設─綠色造林計畫中，所評選出三處平地森林園區的地點之一。園區期望運用森林遊憩結合綠色造林的概念，搭配符合生態、節能、減碳、健康的低密度、綠建築設計，創造一個能作為環境教育的完整生態體系，教導民眾及學童對資源環境的尊重、對生態的概念及對生活的態度；並融合屏東當地的環境特色、歷史文化、地方產業，帶動屏東地區的發展，促進區域的經濟效益並提昇傳統農業生產的價值，打造出具地方特色、導向之多元生態的知性園區，發展生態教學及深度旅遊的遊憩型態，達到綠色造林的價值。,(08)7813529,,屏東縣,潮州鎮,潮義路221之1,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_020022,Attraction,Zh_tw,大農大富平地森林園區,"「大農大富平地森林園區」位於花蓮縣光復鄉，地處花東縱谷，兩側是中央山脈與海岸山脈。從縱谷一路南下，約莫到了中段，過花蓮糖廠煙囪，緊接著就是一大片連綿不絕的森林。

森林的外圍，有多元民族共同書寫的歷史。台灣是一座處處森林的美麗島嶼，但數百年的開發讓原始森林退出平野。21世紀開始，林務局積極推動平地造林，十年樹木，花蓮人擁有了全國第一座平地森林--大農大富平地森林園區。

位於中央山脈與海岸山脈之間，1,250公頃的園區，相當於48座大安森林公園，可說是名副其實的超級吸碳造氧機。這裡種了近20種，逾百萬株低海拔常見的樹種，好看、好用，與人類的生活息息相關。涵養大地，供應人類與其他動物日常所需，它們的丰姿、色彩，是大地最美的一頁詩篇。整體大農大富平地森林園區的規劃以結合周邊農業、城鄉文化、社區營造及環境教育等產業與資源，打造符合生態、節能、減碳、健康導向的規劃與設計，企圖形成多元知性旅遊場域，且與縱谷內遊憩景點連線，提供優質遊憩服務，同時希冀可為平地森林、在地生態景觀、地方居民生活、國人身心健康與環境產業的永續再創新機。",(03)8700870,9,花蓮縣,光復鄉,農場路32號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_030023,Attraction,Zh_tw,奧萬大自然教育中心,"嬉遊在繽紛多彩的松楓林，透過身歷其境的活動，感受自然的脈動，體驗森林多功能價值，了解山林與文明的連結。

奧萬大自然教育中心位於奧萬大國家森林遊樂區內，全區屬狹谷地形，為多條溪流匯集處，四面環山，「春櫻、夏瀑、秋月、冬楓」四季皆美，且是野生物良好的棲息環境。奧萬大吊橋可遠眺溪谷之美及能高南峰，是園區最佳賞景攬勝之處。",(049)2974499,,南投縣,仁愛鄉,親愛村大安路153號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_030024,Attraction,Zh_tw,八仙山自然教育中心,"穿越林場歷史看山、水、林、人的變遷脈絡，深入八仙山體驗蟲、魚、鳥、獸的變幻萬千。

八仙山國家森林遊樂區早期為八仙山林場，曾與太平山及阿里山林場併稱台灣三大林場。八仙山因主峰海拔2,366公尺，折算為8,000台尺之日文讀音而得名。區內群山環繞，林相多變，加上雨量充沛，孕育出豐富精采的森林資源，貫穿全區的十文溪及佳保溪刻畫出廣闊的河階台地景觀。",(04)25950299,,臺中市,和平區,東關路一段200之8號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_030025,Attraction,Zh_tw,觸口自然教育中心,"接觸淺山生態的窗口，開啟人與林業的對話，實踐友善環境綠生活。

觸口自然教育中心位於嘉義縣番路鄉省道台18線上，是前往阿里山國家森林遊樂區必經之路。中心所在地為南區樹木銀行，區內有多棵珍貴老樹、生態水道、黃金級綠建築之綠意館等，整個中心位處綠意盎然的森林中，彰顯人類與自然共處的和諧。",(05)2590211,,嘉義縣,番路鄉,新福村1鄰五虎寮18號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_030026,Attraction,Zh_tw,池南自然教育中心,"走進洄瀾林業時光森林，體驗低海拔森林山水之美，實踐友善環境生活。

位於池南國家森林遊樂區內，介於中央山脈與海岸山脈之間的斷層谷地中，鄰近的鯉魚山林相完整，加上鯉魚潭水域環境，孕育豐富動植物生態資源。該區早期是木材生產轉運站，隨處可見過去林木生產的歷史痕跡，感受未曾褪去的林業記憶。",(03)8641594,15,花蓮縣,壽豐鄉,池南村林園路65號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_030027,Attraction,Zh_tw,東眼山自然教育中心,"在雪山山脈尾稜的柳杉林裡，在真實的環境學習中，創造「人與人」、「人與環境」、「人與社會」之對話。

東眼山自然教育中心位於東眼山國家森林遊樂區內，屬石門水庫集水區範圍，為雪山山脈西稜之一部份，山形恰似人倒臥的側臉，清晨日出由側臉眼窩的位置升起，因而得名。森林組成兼具整齊優美的人工林及豐富多樣的天然林，還有三千萬年前蝦蟹留下的生痕化石，及其他海相沈積等地質景觀。",(03)3821533,,桃園市,復興區,霞雲里成福路600號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_030028,Attraction,Zh_tw,知本自然教育中心,"在知本的熱帶季風林裡遇見多樣的文化與自然生態，在溫泉的縷縷輕煙中看見生．活．美．學。

知本國家森林遊樂區屬熱帶季風氣候，主要代表性植物是榕樹、茄苳及藤本植物，演化出熱帶植物特有的纏勒、絞殺等現象，白榕氣根形成的「千根榕」自然奇景，亦是知本重要的「地標」。區內建築以融入地景為設計原則，同時包容臺東多元民族的文化，呈現自然與人文的融合。",(089)510961,18,臺東縣,卑南鄉,溫泉村龍泉路290號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_030029,Attraction,Zh_tw,羅東自然教育中心,"乘著百年鐵道走進林業文化，踏訪蘭陽青山綠水，我們在城市中與自然一起生活。

位於羅東林業文化園區內，是早期林產業興盛時期太平山林場的重要轉運中心，日據時期的建築與產業遺址仍保留至今，包含運材火車、鐵道文物、竹林車站等，當時的貯木池如今則化身為生態池，水域與陸域環境構成多樣化的棲地，生物相十分豐富。",(03)9540823,,宜蘭縣,羅東鎮,中正北路118號,345040000G,林業保育署,2025/3/29 上午 12:20:05
