Id,Name,Name_c,Description,Grade,Add,Zipcode,Region,Town,Tel,Fax,Gov,Website,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Px,Py,Class,Map,Spec,Serviceinfo,Parkinginfo,TotalNumberofRooms,LowestPrice,CeilingPrice,TaiwanHost,IndustryEmail,TotalNumberofPeople,AccessibilityRooms,PublicToilets,LiftingEquipment,ParkingSpace
E4_A15010000H_000037,ATAYAL Palace,泰雅皇宮,"The Atayal Resort is located in Guoxing Township, Nantou County, Taiwan. It is centered around the culture of the Atayal people, one of Taiwan&#39;s indigenous ethnic groups. The resort features numerous buildings that symbolize Atayal cultural characteristics and early tribal architecture for visitors to explore, as well as exciting performances of indigenous dances. In addition to its Atayal cultural focus, the resort integrates recreation, accommodation, hot springs, ecology, camping, and barbecue facilities, earning it the reputation of being a comprehensive vacation and leisure destination.",,"No.81, Qingfeng Rd., Ren’ai Township, Nantou County 546, Taiwan (R.O.C.)",546,Nantou County,Renai Township,886-49-2461311,886-49-2461347、049,A15010000H,http://www.atayal.com.tw,https://taiwan.taiwanstay.net.tw/twpic/276325.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/276326.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/276327.jpg?v=20250510,,120.944563,24.069499,3,,Double9800;,"restaurant,meeting room,cafe',bar,store,Wi-Fi,National travel card,parking lot,hot spring,Assessible room,,,,guided tou,nursing room,AED,pet friendly hotel,,,Bike friendly accommodation",Parking Space:Car 600、Motorcycle 0、Truck 0,112,9800,60000,0,t999866@atayal.com.tw,438,0,,,600
E4_A15010000H_000039,Villa Bellavita River farm,柯林綠溪地生態農莊,Homestay located in Yilan,,"No.58, Annong 8th Rd., Dongshan Township, Yilan County 269, Taiwan (R.O.C.)",269,Yilan County,Dongshan Township,886-965-068058,,A15010000H,,,,,,,,121.737237,24.690546,4,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,5,12000,12000,0,stoneytaiwan@gmail.com,20,0,0,0,0
E4_A15010000H_000040,Ruisui Style B&B,瑞穗風情民宿,Homestay located in Hualien,,"No.61-1, Zhongxing Rd., Ruisui Township, Hualien County 978, Taiwan (R.O.C.)",978,Hualien County,Ruisui Township,886-975-131312,,A15010000H,,,,,,,,121.378015,23.494499,4,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,5,6000,6000,0,,14,0,0,0,0
E4_A15010000H_000044,Narrow alley,小巷窄,Homestay located in Tainan,,"No.8, Ln. 98, Zhongxiao St., West Central Dist., Tainan City 700, Taiwan (R.O.C.)",700,Tainan City,Zhongxi District,886-913-510830,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/267411.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/267412.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/267413.jpg?v=20250510,,120.197455,22.999962,4,,,"Wi-Fi,National travel card,,,,",Parking Space:Car 0、Motorcycle 0、Truck 0,1,2800,2800,0,sonice0601@gmail.com,3,0,0,0,0
E4_A15010000H_000045,Green World ZhongXiao,洛碁大飯店忠孝館,"Taipei, the crucial confluence of international exchange, which is combined with various culture and the humanity atmosphere.                                                                                                                    Green World Hotels, the first chain hotels founded in Taipei. Conveniently, all properties near MRT stations and are located in business districts and shopping area such as Ximen, Taipei Main Station. We devote in providing every traveler with the best service, affordable price and diverse options. No matter where are you from, we are looking forward to your arrival and create your own story in Taipei.",,"No.180, Sec. 4, Zhongxiao E. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",106,Taipei City,Daan District,886-2-27116869,886-2-27115518,A15010000H,http://zhongxiao.greenworldhotels.com,https://taiwan.taiwanstay.net.tw/twpic/92202.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/92203.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/92375.jpg?v=20250510,,121.542774,25.041256,3,,Double10000;Single10000;Single(Assessible room)7500;Double10000;,"restaurant,meeting room,Wi-Fi,National travel card,parking lot,Assessible room,coin-operated laundry,free internet,,,,laundry service,post and telecommunications service,valuables depository,pick-up service,AED,,,Bike friendly accommodation",Parking Space:Car 35、Motorcycle 0、Truck 0,150,3000,28000,0,zhongxiao@greenworldhotels.com,340,0,,,35
E4_A15010000H_000046,Ho-Am Art Museum,瑚岩美術館民宿,Bed and Breakfast in Pingtung County,,"No.23, Zhongshan Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)",929,Pingtung County,Liuqiu Township,886-8-8611092,,A15010000H,http://www.corail23.com/,https://taiwan.taiwanstay.net.tw/twpic/6677.png?v=20250510,,,,,,120.373558,22.345494,4,,Single4200;Single4200;,Bike friendly accommodation,Parking Space:Car 0、Motorcycle 0、Truck 0,4,4200,4200,0,larochecorail23@gmail.com,8,0,,,0
E4_A15010000H_000047,Deengoege Homestay,得恩谷の民宿,Kaohsiung Legal B&B|Slate House|Maolin Tribe|Ecology|Lukai Tribe|Purple Spotted Butterfly|,,"No.138, Maolin Vil.., Maolin Dist., Kaohsiung City 851, Taiwan (R.O.C.)",851,Kaohsiung City,Maolin District,886-989-370885,,A15010000H,http://deengorge.com/,https://taiwan.taiwanstay.net.tw/twpic/261094.jpeg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/265490.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/265493.jpg?v=20250510,,120.675734,22.896991,4,,Suite4000;,"restaurant,cafe',Wi-Fi,parking lot,senoir room,,,,mobile payment,experience activities,pet friendly hotel,,,Bike friendly accommodation",Parking Space:Car 0、Motorcycle 0、Truck 0,5,4000,5000,1,svonvong2017@gmail.com,38,0,,,0
E4_A15010000H_000050,Qiqiao Homestay,奇巧民宿,Bed and Breakfast in Hualien County,,"No.39-3, Futian, Fuli Township, Hualien County 983, Taiwan (R.O.C.)",983,Hualien County,Fuli Township,886-3-8821106,886-3-8821825,A15010000H,http://www.netete.com/qiqiao,,,,,,,121.281821,23.21131,4,,,,Parking Space:Car 5、Motorcycle 0、Truck 0,3,2000,3000,0,,10,0,,,5
E4_A15010000H_000051,Chao Xi Lu Kezhan Homestay,朝昔廬客棧民宿,"The owner of this guesthouse shares a belief in using authentic materials with his forebears, along with a passion for and fascination with handicrafts, and to help promote this, on 12 July 2007 he opened Chaoxilu Guesthouse. The distinctive interiors and exteriors of this guesthouse are due to the use of authentic items from historic temples and homesteads, giving new life to these treasured, thoughtfully crafted items. Penghu is also particularly known for its cuisine culture, and the meals provided are an authentic taste of Penghu. Near the tidal belt, this comfortable, spacious guesthouse also has a tremendous verandah that offers a 180-degree view of the ocean, a sight beyond compare.",,"No.200, Zhaijiaoyu, Magong City, Penghu County 880, Taiwan (R.O.C.)",880,Penghu County,Huxi Township,886-6-9210750,886-6-9221367,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/10457.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/27319.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/29233.jpg?v=20250510,,119.606725,23.582509,4,,Suite4800;Double2800;Double2800;Suite4000;,"parking lot,Internet,National travel card,,,guided tou,experience activities,",Parking Space:Car 0、Motorcycle 0、Truck 0,4,2800,4800,0,,14,0,,,0
E4_A15010000H_000052,SANHUO HOTEL,三和大旅社,Hotel located in Changhua County,,"No.31, Ln. 96, Yongxing St., Changhua City, Changhua County 500, Taiwan (R.O.C.)",500,Changhua County,Changhua City,886-4-7228221,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/264713.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/264716.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/264717.jpg?v=20250510,,120.538823,24.080139,3,,Suite1000;Double1000;Double1000;Suite1000;Suite1000;Suite1000;,,Parking Space:Car 0、Motorcycle 0、Truck 0,20,2000,150000,0,,44,0,,,0
E4_A15010000H_000054,Fu Quan Hotel,富泉大飯店,Hotel located in Yilan County,,"1-4F., No.93, Sec. 5, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)",262,Yilan County,Jiaoxi Township,886-914-033392,886-3-9886568,A15010000H,,,,,,,,121.774057,24.828908,3,,,"Wi-Fi,National travel card,parking lot,,,pet friendly hotel,",Parking Space:Car 0、Motorcycle 0、Truck 0,15,3080,6200,0,fc@kellyhotel.com.tw,53,0,,,0
E4_A15010000H_000055,Feng Ge Xiao Zhan Homestay,風歌小棧民宿,Bed and Breakfast in Nantou County,,"No.27, Neipu Rd., Puli Township, Nantou County 545, Taiwan (R.O.C.)",545,Nantou County,Puli Township,886-49-2981098,886-49-2986068,A15010000H,,,,,,,,120.987549,23.98619,4,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,5,5500,8800,0,billson.lin@gmail.com,16,0,,,0
E4_A15010000H_000057,Dao Xiang Ting Homestay,稻香亭民宿,Bed and Breakfast in Nantou County,,"No.11, Jintian Ln., Yuchi Township, Nantou County 555, Taiwan (R.O.C.)",555,Nantou County,Yuchi Township,886-49-2896915,886-49-2898563,A15010000H,,,,,,,,120.941334,23.874514,4,,,Bike friendly accommodation,Parking Space:Car 0、Motorcycle 0、Truck 0,5,1500,2500,0,chenlijoy@gmail.com,16,0,,,0
E4_A15010000H_000058,The Jungle House,迪噢叢林旅宿,Homestay located in Pingtung,,"No.10, Ln. 3, Longquan Rd., Hengchun Township, Pingtung County 946, Taiwan (R.O.C.)",946,Pingtung County,Hengchun Township,886-988-576662,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/108499.JPG?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/108507.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/108505.jpg?v=20250510,,120.740065,21.987644,4,,,"Wi-Fi,National travel card,parking lot,hot spring,,,,pet friendly hotel,,,Bike friendly accommodation",Parking Space:Car 0、Motorcycle 0、Truck 0,5,3800,6000,0,,22,0,,,0
E4_A15010000H_000063,SUN LINK SEA TOURISM,杉林溪主題會館,"Theme Hallmainly for economic warm bright design. Offers 227 rooms, a gym, KTV, and according to room comes with breakfast, Sun-Link-Sea tea, high texture milk bath, shampoo, another room with wireless Internet access, LCD TV, heater, tea equipment.We offer delicacies, meals, and vegetarian meals for groups, families and individuals. It is the best choice for a budget meal.",,"No.6, Xishan Rd., Zhushan Township, Nantou County 557, Taiwan (R.O.C.)",557,Nantou County,Zhushan Township,886-49-2611211,886-49-2611216,A15010000H,https://www.goto307.com.tw,https://taiwan.taiwanstay.net.tw/twpic/5377.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/43794.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/27047.jpg?v=20250510,,120.792122,23.639695,3,,Double(Assessible room)4400;,"restaurant,meeting room,cafe',store,Wi-Fi,National travel card,parking lot,senoir room,Assessible room,coin-operated laundry,,,,mobile payment,guided tou,experience activities,nursing room,AED,,",Parking Space:Car 0、Motorcycle 0、Truck 0,261,4400,10600,0,sun.ls@msa.hinet.net,706,0,,,0
E4_A15010000H_000064,mbhotel,摩天海灣商旅,"＊Roaming the harbor metropolis in search of everyone&#39;s wonderland ＝ Colorful and Joyful Kaohsiung ＝ Welcome to Kaohsiung, a prosperous and bustling city full of high-rise buildings and breath of art. Contributed by the rapid transportation of KMRT&#39;s red and orange lines, popular scenic spots are connected to realize a diversified style of tourism, leading to a successful combination of liberal arts and arts & culture.",,"21F.-7-12, No.21, Xinguang Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)",806,Kaohsiung City,Qianzhen District,886-7-5366227,,A15010000H,https://www.sunshinegarden.com.tw/products-21.html,https://taiwan.taiwanstay.net.tw/twpic/170183.jpg?v=20250510,,,,,,120.304611,22.611582,3,,,"Wi-Fi,coin-operated laundry,,,,,Bike friendly accommodation",Parking Space:Car 0、Motorcycle 0、Truck 0,6,5500,9000,0,mbhotel888@gmail.com,24,0,,,0
E4_A15010000H_000066,Peng Lai Guanhai Hostel,朋來觀海民宿,Bed and Breakfast in Penghu County,,"No.41-5, Jiangmei, Baisha Township, Penghu County 884, Taiwan (R.O.C.)",884,Penghu County,Baisha Township,886-905-969672,,A15010000H,,,,,,,,119.601758,23.629311,4,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,5,2600,4000,0,even813125@gmail.com,12,0,,,0
E4_A15010000H_000071,An De  Hotel,安德飯店,Hotel located in Taitung County,,"1-2F., No.6-1, Harbor Rd., Ludao Township, Taitung County 951, Taiwan (R.O.C.)",951,Taitung County,Ludao Township,886-89-672520,886-89-671074,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/18892.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/30075.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/49464.jpg?v=20250510,,121.473611,22.662393,3,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,5,500,2000,0,,18,0,,,0
E4_A15010000H_000072,LDY Guesthouse,瀧德銀旅店,"Pingtung County Government&#39;s legal homestay number: 0565Our store was built in 2014 in downtown HengchunAccommodation is available for up to 10 people. There are 3-4 outdoor parking spaces around the B&B, first come first served. No parking spaces available, please park on the roadside in the nearby public parking lot.Our store&#39;s advantages7-11 (2 minutes walk)PX Mart 85 Degrees Coffee Shop (5 minutes walk)McDonald&#39;s, Starbucks, Hengchun Old Street and Ancient City Gate are all within a 10-minute walk.It is 300 meters away from Hengchun Night Market.Dinner, supper and food area are located on Zhongzheng Road and Zhongshan Road Old Street.We provide rental of motorcycles and electric vehicles, as well as charter and carpooling services. Our store is located in Hengchun Township.One by one, one by one, one by one, one by one, one by one, one by oneHomestay RulesEnsure guests can enjoy comfortable sleep qualityPlease take a moment to read the hotel rules carefully.1.It is forbidden to smoke controlled substances. Report to the police if found.Please smoke cigarettes, cigars and e-cigarettes outside the hotel and do not use them inside the hotel.2.It is prohibited to set up any illegal gambling or fraud machines.3.If the items in the room are damaged, compensation will be made with the current price of the new items. If the circumstances are serious, compensation will be made for business losses (200,000 yuan)4.If the tenant is drunk or behaves in an aggressive, rude, abusive, threatening or other manner that may endanger anyone. Call the police, please leave the nuisance party, no refund will be made, refer to Section 3.5.Pet-free hotels do not allow pets, except guide dogs.6.Please keep your belongings safe when parking your vehicle. The B&B is not responsible for any damage to your vehicle.7.This hotel is an environmentally friendly hotel. We do not provide daily cleaning service for extended stays. In response to the government&#39;s promotion of environmental protection, we will reduce the supply of amenities and mineral water.8.Non-hotel guests are requested to leave the hotel before 23:00.9.The final right of interpretation belongs to our store.Please treat the hotel well and treat it as your homeYou are part of the hotel family.Thank you for staying, thank you very much❤️❤️",,"No.2, Aly. 15, Ln. 232, Zhongzheng Rd., Hengchun Township, Pingtung County 946, Taiwan (R.O.C.)",946,Pingtung County,Hengchun Township,886-8-8880201,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/26547.JPG?v=20250510,,,,,,120.743984,22.006554,4,,,"Wi-Fi,parking lot,,,,pick-up service,guided tou,,,Bike friendly accommodation",Parking Space:Car 0、Motorcycle 0、Truck 0,3,4200,4800,0,,8,0,,,0
E4_A15010000H_000073,paperplane hostel,紙飛機青年旅館,Hotel located in Kaohsiung City,,"10F., No.287, Bo’ai 1st Rd., Sanmin Dist., Kaohsiung City 807, Taiwan (R.O.C.)",807,Kaohsiung City,Sanmin District,886-968-500985,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/269955.jpg?v=20250510,,,,,,120.300873,22.649068,3,,,"Wi-Fi,National travel card,coin-operated laundry,,,,laundry service,,",Parking Space:Car 0、Motorcycle 0、Truck 0,13,2000,16000,0,pphosteltw@gmail.com,66,0,,,0
E4_A15010000H_000076,Ali Ba Ba B&B,阿里巴巴運動休閒民宿,Bed and Breakfast in Hualien County,,"No.132, Zhongshun St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",970,Hualien County,Hualien City,886-3-8339715,886-3-8339990,A15010000H,http://www.albb.com,https://taiwan.taiwanstay.net.tw/twpic/296451.jpeg?v=20250510,,,,,,121.595928,23.97009,4,,,"guided tou,,",Parking Space:Car 0、Motorcycle 0、Truck 0,5,3000,5000,0,uu910526tw@yahoo.com.tw,14,0,,,0
E4_A15010000H_000077,URTRIP HOTEL,悠趣旅店,Hotel located in Taipei City,,"12F., No.219, Sec. 2, Chang’an E. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",105,Taipei City,Songshan District,886-2-27752277,886-2-27710365,A15010000H,,,,,,,,121.544923,25.048338,3,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,27,10000,15000,0,service@urtrip.com.tw,68,0,,,0
E4_A15010000H_000078,NEW HOUSE HOTEL,新家大飯店,Hotel located in Taichung City,,"No.45, Guangfu Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",400,Taichung City,Zhong District,886-4-22262125,886-4-22252006,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/259945.jpg?v=20250510,,,,,,120.684779,24.140524,3,,,"Wi-Fi,,,,",Parking Space:Car 0、Motorcycle 0、Truck 0,28,800,2000,0,onlykckc@gmail.com,62,0,,,0
E4_A15010000H_000080,Garden Homestay,立群花園民宿,Bed and Breakfast in Hualien County,,"No.47, Nanhai 4th St., Ji’an Township, Hualien County 973, Taiwan (R.O.C.)",973,Hualien County,Jian Township,886-3-8422200,886-3-8422092,A15010000H,,,,,,,,121.595768,23.950736,4,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,5,3200,4500,0,,12,0,,,0
E4_A15010000H_000084,Hyatt Inn,凱悅會館,Homestay located in Pingtung,,"No.11, Aly. 2, Ln. 11, Hengnan Rd., Hengchun Township, Pingtung County 946, Taiwan (R.O.C.)",946,Pingtung County,Hengchun Township,886-8-8881426,,A15010000H,http://www.facebook.com/hyattlnn,https://taiwan.taiwanstay.net.tw/twpic/283472.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/283471.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/283470.jpg?v=20250510,,120.743083,22.001104,4,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,5,2700,4500,1,hyattinn946@gmail.com,18,0,0,0,0
