唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間
Event_371020000A_003917,Event,Zh_tw,浦揪文創市集,結合後浦十六藝文特區文創商家並邀請台金特色攤位進駐，於每季季末提供旅客及在地金門鄉親體驗及挖寶的樂趣。主辦單位：金城鎮公所觀光課活動時間：第一場 6/6-6/8第二場 9/12-9/14第三場 12/5-12/7活動地點：後浦十六藝文特區連絡電話：王小姐 082-325057各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金城鎮,後浦16藝文特區,371020000A,金門縣政府觀光處,2025/3/13 上午 06:01:55
Event_371020000A_003918,Event,Zh_tw,金門海上長泳暨金廈泳渡,2025金門海上長泳即將邁向第22屆，結合在地美食、醇酒，主打友善、戰地、閩南、僑鄉為特色，打造優質旅遊休閒體育賽事，活動地點於習山湖海灣，海天一色的優美風景廣受泳士們好評。金廈泳渡至今仍是唯一由兩岸官方主辦的運動賽會，不僅海水清澈遼闊，沿途景觀更是優美，加上公開水域讓活動具有挑戰性，來參與的泳者均能享受乘風破浪的感覺。主辦單位：金門縣政府教育處活動時間：7月26日、27日活動地點：金廈泳渡：廈門椰風寨至烈嶼鄉雙口海域金門海上長泳：習山湖海灣連絡電話：林小姐 082-318823#62467各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,烈嶼鄉,習山湖海灣,371020000A,金門縣政府觀光處,2025/1/20 上午 06:49:25
Event_371020000A_003919,Event,Zh_tw,2025夏日金寧嗨FUN玩水節,以金寧鄉后湖海濱公園週邊公共空間作為活動場地，布置充滿歡樂與夢幻、浪漫的親子戲水氛圍，以不同類型的親水遊具設施呈現，吸引來金遊客與一整片海灘互動拍照、打卡，戲水遊玩，藉由網路傳播及遊客口耳相傳，促進地方觀光產業的發展。主辦單位：金寧鄉公所活動時間：預計7月19日至7月27日 16:00-21:00活動地點：金寧鄉后湖海濱公園連絡電話：陳先生 082-325610各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金寧鄉,后湖海濱公園,371020000A,金門縣政府觀光處,2025/3/13 上午 06:06:36
Event_371020000A_003920,Event,Zh_tw,金門親子嘉年華,親子體驗遊以公部門結合地方業者共同投入參與親子旅遊，以創新旅遊亮點，共同推出多種體驗遊程，以強化深度體驗活動，協助在地旅遊業者產品數位轉型，加強金門的國際行銷及深度體驗活動，讓觀光客感受金門獨有的生態特色，塑造觀光新亮點。主辦單位：金門縣政府觀光處活動時間：114年7月1日-8月31日主活動日：暫定7月5日活動地點：大小金門連絡電話：許小姐 082-318823各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金沙鎮,,371020000A,金門縣政府觀光處,2025/3/13 上午 06:07:50
Event_371020000A_003921,Event,Zh_tw,後浦十六藝文特區音樂季,邀請台金演唱者在後浦16藝文特區舉辦音樂季，享受輕鬆的夏夜風情，唯美、浪漫的音樂勢必帶給聆賞者豐富的聽覺與視覺饗宴。活動時間：1.7/11-7/122.7/18-7/193.7/25-7/264.8/1-8/25.8/8/-8/96.8/15-8/167.8/22-8/238.8/29-8/30活動地點：後浦16藝文特區主辦單位：金城鎮公所觀光課連絡電話：王小姐 082-325057各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金城鎮,後浦16藝文特區,371020000A,金門縣政府觀光處,2025/3/13 上午 06:10:22
Event_371020000A_003922,Event,Zh_tw,114年度台灣原住民豐年節慶活動,為凝聚本縣臺灣原住民族族人，及延續原住民族文化，特辦理此項活動。仿造本島辦理原住民相關文化活動之形式，以「原住民傳統技藝競賽」、「傳統歌舞」展縣原民特有文化。主辦單位：金門縣政府民政處活動時間：3-5月活動地點：金門縣烈嶼鄉連絡電話：全先生 082-318823#62116各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金城鎮,莒光共融公園,371020000A,金門縣政府觀光處,2024/12/3 上午 02:36:57
Event_371020000A_003923,Event,Zh_tw,金門中秋博狀元餅,博狀元餅俗稱「博餅」，以擲骰子方式進行，是盛行於閩南地區特有的民俗文化活動。相傳是出生金門洪門港(后豐港)的鄭成功營中大將洪旭，在鄭成功領軍進攻金陵時，為穩定留守廈門的官兵軍心，並撫慰思鄉情緒，發明博狀元餅遊戲，讓官兵在中秋節玩上一把，而在廈門、泉州、金門等地流傳，成為一種中秋佳節應景的民俗娛樂活動。博餅活動迄今流傳已超過300年，金門戰地政務時期一度絕跡，為傳承民俗、發展觀光，所以每年舉辦「中秋博狀元餅」活動。活動於2012年入選「台灣觀光年曆」、是國際型觀光活動!主辦單位：金門縣政府觀光處活動時間：114年9月1日-10月6日活動地點：大小金門連絡電話：082-318823各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金沙鎮,,371020000A,金門縣政府觀光處,2025/2/18 上午 09:22:22
Event_371020000A_003924,Event,Zh_tw,高粱老街風獅爺文化季,以金沙在地風獅爺特色創新發展，傳承歷史，從體驗高粱田、聆聽老街文化故事出發，貼近人心，親近金門特色，讓風獅爺重新再現，並結合地方特色消費，促進文化觀光人潮。主辦單位：金沙鎮公所活動時間：9-10月活動地點：金沙鎮連絡電話：陳小姐 082-352150各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金沙鎮,,371020000A,金門縣政府觀光處,2024/12/3 上午 06:15:52
Event_371020000A_003925,Event,Zh_tw,114年芋頭季系列活動,將舉行挖芋體驗及園遊會、摸彩及藝人表演等活動，請大家共襄盛舉。主辦單位：烈嶼鄉公所活動時間：10-11月活動地點：金門縣烈嶼鄉連絡電話：羅小姐 082-364510各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,烈嶼鄉,,371020000A,金門縣政府觀光處,2024/12/3 上午 06:12:56
Event_371020000A_003926,Event,Zh_tw,窯火與戰火 金門陶與瓷工藝文化特展,以金門陶瓷產業發展與故事為主軸，呈現陶瓷與在地風土、歷史及民眾生活的關係。主辦單位：金門縣文化園區管理所活動時間：3-5月活動地點：金門歷史民俗博物館連絡電話：洪小姐 082-351030#202各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金沙鎮,金門歷史民俗博物館,371020000A,金門縣政府觀光處,2024/12/12 上午 08:46:52
Event_371020000A_003927,Event,Zh_tw,金門坑道音樂節,翟山坑道為花崗岩開挖而成，成為一個天然的音箱，還有海浪自然的聲音。因此我們特別利用坑道的水道做為表演舞臺場域，舉辦金門坑 道音樂節表演，推廣軍事史蹟活化再利用觀念，並以軟性的音樂宣揚 和平理念。主辦單位：內政部國家公園署金門國家公園管理處活動時間：暫訂114年10月活動地點：翟山坑道連絡電話：解說教育科蔡先生 082-313185各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金城鎮,翟山坑道,371020000A,金門縣政府觀光處,2025/2/18 上午 09:21:36
Event_371020000A_003928,Event,Zh_tw,金門老兵召集令,即使時光飛逝、場景不再，金門依然是老兵記憶裡，自己青春歲月拋灑過的家園。謹以感恩的心，歡迎老兵返金走走，共話桑麻。主辦單位：金門縣政府觀光處活動時間：10月1日-12月15日活動地點：金門連絡電話：082-318823各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金沙鎮,,371020000A,金門縣政府觀光處,2025/2/18 上午 08:51:18
Event_371020000A_003929,Event,Zh_tw,萬聖節活動,藉由主題性活動的舉辦，活絡後浦商圈整體產業發展並透過變裝踩街遊行及走秀比賽活動，暫時跳脫現實生活的枷鎖，激發創意和想像力，帶給後浦城區年輕活力新朝氣。主辦單位：金城鎮公所觀光課活動時間：10月25日 星期六活動地點：金城鎮連絡電話：王小姐 082-325057各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金城鎮,,371020000A,金門縣政府觀光處,2024/12/3 上午 06:06:39
Event_371020000A_003930,Event,Zh_tw,2025 金寧鄉鄉村市集,鄉村市集派對目標客群以在地親子家庭為主，由公部門建立一個平台，提供販售、宣導及親子同樂的場域，冀望能帶動經濟文化及社區的永續發展，並提供一個溫馨有趣的兒童園地讓民眾於假日時能同享天倫一同放鬆玩樂。主辦單位：金寧鄉公所活動時間：11月1日至11月2日 10:00-17:00活動地點：金寧鄉古寧頭和平紀念園區連絡電話：薛小姐 082-325610各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金寧鄉,和平紀念園區,371020000A,金門縣政府觀光處,2025/1/20 上午 07:32:08
Event_371020000A_003931,Event,Zh_tw,HOPE草地野餐音樂節,串聯「野餐」、「餐車」和「音樂」三大元素，向鄉親及觀光客舉辦「Hope草地野餐音樂節」，引進台灣知名的特色餐車打造特色市集，除了延伸這股熱潮，優化場域運用外，更期盼可以發展為居民日常休閒樣態，成為金城鎮的常態化特色活動，藉茲彰顯後浦經典小鎮、慢活樂遊的獨特魅力；另外，還希望藉由寬闊的草地、清新的空氣、迷人的音樂表達身處自由民主之境、遠離疫病的「希望(Hope)」意涵，為所有為疫情所苦及奮戰不懈的人們加油打氣！主辦單位：金城鎮公所觀光課活動時間：11月8至11月9日活動地點：莒光公園連絡電話：王小姐 082-325057各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金城鎮,莒光公園,371020000A,金門縣政府觀光處,2024/12/3 上午 06:04:56
Event_371020000A_003932,Event,Zh_tw,第六屆烈嶼定向越野錦標賽暨樂遊健走活動,參加者繳納200元報名費即可參賽，積分排名，參賽完成者均發完賽證明與紀念品乙份。主辦單位：烈嶼鄉公所活動時間：12月活動地點：金門縣烈嶼鄉連絡電話：羅小姐 082-364510各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,烈嶼鄉,,371020000A,金門縣政府觀光處,2024/12/3 上午 05:47:37
Event_371020000A_003933,Event,Zh_tw,2025金沙歡樂聖誕x時光繁星假日市集,金沙歡樂聖誕x時光繁星假日市集」活動，為增加活動的豐富性與串聯性，以金沙鎮在地特色及聖誕節為主軸，規劃沙美商圈燈飾佈景，營造過節的歡樂氛圍，透過此節慶，融合本土市區樣貌，打造藝術美學的沙美市區，活躍沙美街道。主辦單位：金沙鎮公所活動時間：預計114年12月13日(週六)、14日(週日)等2日活動地點：金沙鎮連絡電話：陳小姐 082-352150各活動時間及地點以主辦單位最新公告為主,(08)2318823,,金門縣,金沙鎮,,371020000A,金門縣政府觀光處,2025/3/13 上午 02:45:34
Event_371020000A_003934,Event,Zh_tw,2025金門跨年晚會,2025金門跨年晚會將於12月31日（週二）晚間7時在金湖鎮新市里籃球場（山外車站對面）熱鬧登場，金門跨年晚會以「樂福金門、閃耀迎新」為主題，以創新科技結合在地文化，打造一場專屬於金門的歡樂跨年盛宴。這次跨年晚會卡司包含金曲歌王荒山亮、民歌教父陳宏銘、八點檔戲劇女神王晴、歌壇實力唱將伍浩哲、億萬點閱率神曲歌姬林芯儀、「明日之星」出身的新世代唱將郭忠祐、台語歌壇小天后蔡家蓁、城市唱作才女吳汶芳、Urban Lady都會女聲林希子，以及音樂才女Bettii杯緹，另外還有兒童界偶像泡芙姐姐、綜藝小天后張文綺、當紅啦啦隊女神宜芳，都將聯袂參與。跨年倒數時刻的無人機群飛展演秀是此次晚會的核心亮點，數百架無人機群飛展演，在金門的夜空中描繪出多個金門文化元素符號，同時以炫目的燈光編排呈現「樂福金門」的主題字樣。無人機群飛展演除了有金門在地重要代表符號的表現，另一重點畫面則是「飛去金門話」的創意展示，無人機將透過燈光拼出推廣金門話的Slogan，讓現場觀眾在視覺的體驗中感受到金門話的魅力。主辦單位於會場周邊規劃了臨時停車區（如圖），包含借用市港路重劃區的空地做為汽車臨停區（入口請從赤東路段進入）；另借用金湖國小進入大門左側之空地做為機車臨停區，請汽機車用路人遵照現場義交或工作人員引導停車。跨年晚會預計於凌晨零時30分結束之後，主辦單位安排三輛接駁車，預計元旦凌晨零時30分發車，由山外車站出發依路線前往金城車站、金沙車站、烈嶼（小金門）車站，歡迎鄉親多加利用。活動地點：金湖鎮新市里籃球場(山外車站對面)主辦單位：金門縣文化局活動日期：12月31日,(08)2318823,,金門縣,金湖鎮,新市里籃球場,371020000A,金門縣政府觀光處,2025/1/2 上午 12:55:46
